종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"055490","테이팩스","KOSPI","화학","65900","-1900","-2.80","310893135000"
"078000","텔코웨어","KOSPI","서비스업","8630","-70","-0.80","83734352780"
"214420","토니모리","KOSPI","화학","3525","10","0.28","84793166475"
"019180","티에이치엔","KOSPI","전기전자","3765","140","3.86","67770000000"
"363280","티와이홀딩스","KOSPI","기타금융","11450","100","0.88","583140118600"
"36328K","티와이홀딩스우","KOSPI","기타금융","12650","250","2.02","15880025700"
"091810","티웨이항공","KOSPI","운수창고업","1580","25","1.61","253321840820"
"004870","티웨이홀딩스","KOSPI","비금속광물","439","9","2.09","48058281313"
"005690","파미셀","KOSPI","의약품","9080","-30","-0.33","544427266000"
"036580","팜스코","KOSPI","음식료품","4010","-135","-3.26","147279051430"
"004720","팜젠사이언스","KOSPI","의약품","6030","30","0.50","95460266700"
"028670","팬오션","KOSPI","운수창고업","4475","-95","-2.08","2392198566200"
"010820","퍼스텍","KOSPI","기계","2855","-160","-5.31","137215468300"
"016800","퍼시스","KOSPI","기타제조업","27350","200","0.74","314525000000"
"001020","페이퍼코리아","KOSPI","종이목재","1215","0","0.00","57793674150"
"090080","평화산업","KOSPI","운수장비","1230","5","0.41","67529778570"
"010770","평화홀딩스","KOSPI","운수장비","2930","0","0.00","42852615380"
"058430","포스코스틸리온","KOSPI","철강금속","27050","200","0.74","162300000000"
"047050","포스코인터내셔널","KOSPI","유통업","22150","250","1.14","2732759550350"
"003670","포스코케미칼","KOSPI","비금속광물","162000","-1000","-0.61","12549041640000"
"017810","풀무원","KOSPI","음식료품","10650","-200","-1.84","405983772300"
"103140","풍산","KOSPI","철강금속","26800","550","2.10","751050650400"
"005810","풍산홀딩스","KOSPI","기타금융","26200","200","0.77","272729633600"
"950210","프레스티지바이오파마","KOSPI","서비스업","7610","-180","-2.31","457331739550"
"009810","플레이그램","KOSPI","유통업","985","7","0.72","88371310010"
"086790","하나금융지주","KOSPI","기타금융","37350","500","1.36","11051994828600"
